kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,109,24,turn_on_lightbulb,turn_on_lightbulb,4,2.1734447479248047,1.905062198638916,1.0462310314178467,0.6498080492019653,2.339465618133545,1.6464380025863647,1,0,0.01635914109647274,0.19366668164730072,1.6464380025863647,1.136322259902954,0.26014354825019836
observed,110,24,turn_off_lightbulb,turn_off_lightbulb,4,2.493356943130493,2.118839979171753,1.3142852783203125,0.5850517749786377,2.8678383827209473,2.469146251678467,1,0,0.03191303089261055,0.42275696992874146,2.469146251678467,1.4521138668060303,0.14117872714996338
observed,111,24,turn_on_lightbulb,turn_on_lightbulb,4,2.170353889465332,2.023780345916748,0.7840599417686462,0.40521538257598877,3.1574394702911377,2.158785581588745,1,0,0.04156235232949257,0.520942211151123,2.158785581588745,1.0803492069244385,0.26368314027786255
observed,112,24,turn_off_lightbulb,turn_off_lightbulb,4,2.0784294605255127,1.6740821599960327,1.2317944765090942,0.5632259249687195,3.292482376098633,2.3872339725494385,1,0,0.02710181474685669,0.38014984130859375,2.3872339725494385,1.2928942441940308,0.3232501447200775
observed,113,24,push_pink_block_right,push_pink_block_right,4,2.7196202278137207,2.3167526721954346,1.4244266748428345,2.2360622882843018,4.378991603851318,2.4152283668518066,1,0,0.06035114452242851,3.1956851482391357,2.4152283668518066,2.1146883964538574,0.49968284368515015
observed,114,24,turn_on_lightbulb,turn_on_lightbulb,4,4.118430137634277,3.1681177616119385,2.631443738937378,2.108536958694458,3.947993755340576,3.0272202491760254,2,1,0.06615861505270004,2.496826171875,3.0272202491760254,1.6472824811935425,0.5116466879844666
observed,115,24,lift_red_block_table,lift_red_block_table,4,3.219167470932007,2.36575984954834,2.1831674575805664,0.6848706007003784,4.3764824867248535,2.977174758911133,4,1,0.1013651117682457,0.8219523429870605,2.977174758911133,1.3715119361877441,0.39348194003105164
observed,116,24,place_in_slider,place_in_slider,4,2.8659002780914307,2.055048942565918,1.9975382089614868,1.576556921005249,4.112773895263672,2.8743937015533447,1,0,0.05665520206093788,2.4143288135528564,2.8743937015533447,0.9858102202415466,0.10642724484205246
observed,117,24,turn_off_lightbulb,turn_off_lightbulb,4,2.0402779579162598,1.9445513486862183,0.6176202893257141,0.18983809649944305,2.8049628734588623,2.219886302947998,1,0,0.025344684720039368,0.346801221370697,2.219886302947998,1.0377141237258911,0.24979285895824432
observed,118,24,turn_on_lightbulb,turn_on_lightbulb,4,2.341552495956421,2.2343735694885254,0.7003161907196045,0.6762111186981201,2.4651618003845215,1.3538259267807007,1,0,0.010284519754350185,0.26068782806396484,1.3538259267807007,0.8242330551147461,0.27716362476348877
